clstimestamp,frame_id,num_points,point_data
2026-02-13T16:51:20.493,832,5,"[{'x': -3.359125203144223, 'y': 9.1351110821651, 'z': -1.17040164538454, 'v': 0.9523893982844565}, {'x': 0.4514856619829235, 'y': 8.320835590244778, 'z': -1.6924014611529827, 'v': 0.9917374010394937}, {'x': -1.5844823647802664, 'y': 7.2690848965417185, 'z': -1.4928171778949832, 'v': 0.15461521678901025}, {'x': 2.2373546437526235, 'y': 5.969269359643445, 'z': 1.8605694930586494, 'v': 0.3929741892459968}, {'x': 4.208840356060577, 'y': 7.2368240221702305, 'z': -1.1206196563742763, 'v': 0.2769561708650803}]"
2026-02-13T16:51:20.912,832,5,"[{'x': 4.686561620535748, 'y': 2.8447194879560933, 'z': -0.49961517015187784, 'v': -0.903481036830484}, {'x': 0.6710347076837024, 'y': 7.633216663190829, 'z': 1.379071158402363, 'v': 0.9536883066884867}, {'x': 0.34073059178311915, 'y': 1.6118798901777998, 'z': 0.09876086573426335, 'v': -0.5037544172605897}, {'x': -1.9840505142023632, 'y': 2.1530248246421726, 'z': 0.3384153120262865, 'v': 0.10668613922168935}, {'x': 3.1372718437129574, 'y': 7.772697285500825, 'z': -1.1437038535173847, 'v': 0.9843904138309214}]"
2026-02-13T16:51:21.061,832,5,"[{'x': 1.9259055225719193, 'y': 5.023041792356975, 'z': -0.0653696229990568, 'v': 0.0009703599745065628}, {'x': -2.3905814010755346, 'y': 0.856456175579402, 'z': -0.11582201996752772, 'v': 0.01734365240868585}, {'x': 0.8375867128632972, 'y': 9.505845032049013, 'z': -0.9815155798580699, 'v': -0.2370970228096223}, {'x': -2.6509404259777094, 'y': 1.6255632842429013, 'z': 1.3381366434564712, 'v': 0.7695078207727721}, {'x': -3.5248223872468953, 'y': 6.71839670837683, 'z': 0.04086418613048437, 'v': -0.6051231576681853}]"
2026-02-13T16:51:21.201,832,5,"[{'x': -0.9075418439255669, 'y': 0.06663966614103622, 'z': -1.6814425068285566, 'v': -0.415332174585179}, {'x': -3.118378370059607, 'y': 7.561651971100954, 'z': -0.8977285655745062, 'v': -0.9082226902158625}, {'x': 0.11117840476803398, 'y': 8.477441262819363, 'z': 1.0215261804148597, 'v': 0.3624105122390804}, {'x': -1.9681192817692414, 'y': 9.502092134567155, 'z': 0.3101471702456915, 'v': -0.7008734464413364}, {'x': 2.550318811771736, 'y': 5.582112552208009, 'z': -0.224948447634028, 'v': 0.314000061799419}]"
2026-02-13T16:51:21.403,832,5,"[{'x': -1.8535211959016298, 'y': 5.791625274568375, 'z': 1.8311080169507332, 'v': 0.23430977226948202}, {'x': -0.23456146111104914, 'y': 3.877183192649923, 'z': 0.5476793809196812, 'v': 0.6008975211135761}, {'x': 4.176378491386007, 'y': 7.681357666612284, 'z': 1.1858086899444604, 'v': 0.4812568736449385}, {'x': 4.901834748894913, 'y': 8.892590214687534, 'z': -0.4674081065332629, 'v': -0.38401220606563347}, {'x': -3.715001426739849, 'y': 9.748974253969019, 'z': -1.5633340425644984, 'v': -0.010589626243246109}]"
2026-02-13T16:51:21.533,832,5,"[{'x': -1.883932948229794, 'y': 3.996503789159065, 'z': 0.6545550263618676, 'v': 0.400282285694336}, {'x': -1.941367995779355, 'y': 6.477952324111481, 'z': 0.3798849541446363, 'v': 0.10204827693750596}, {'x': -4.84759111939421, 'y': 2.2913953931931164, 'z': -0.6022198033397173, 'v': -0.7918885344684852}, {'x': 2.972817778889212, 'y': 8.293226235013835, 'z': 0.008079596266953093, 'v': 0.2579894299676453}, {'x': 3.0703680092892824, 'y': 6.603686326692544, 'z': 0.5409206876181103, 'v': 0.17090202911724783}]"
2026-02-13T16:51:21.667,832,5,"[{'x': 3.3337095871592854, 'y': 4.445158479463847, 'z': -0.11807620519017847, 'v': 0.4560147884096799}, {'x': 4.539796146092556, 'y': 4.516556821545036, 'z': 0.11583510483209469, 'v': -0.2113891590052841}, {'x': 2.229470796111759, 'y': 6.73678512746031, 'z': 1.6011230040845637, 'v': 0.6221780258947562}, {'x': -0.5614813903581677, 'y': 6.961252392869014, 'z': -0.3561991981357817, 'v': -0.6427113953509342}, {'x': -3.7254033981601777, 'y': 3.0535864827440387, 'z': 0.08352485257674536, 'v': 0.9707670912945925}]"
2026-02-13T16:51:21.791,832,5,"[{'x': 1.7269470022684725, 'y': 7.6193829024638235, 'z': 1.4074296330752678, 'v': 0.6202603228221657}, {'x': -3.7340057748827338, 'y': 7.216369028279731, 'z': -0.5673407566931332, 'v': 0.5399210904885472}, {'x': 0.7134470179002141, 'y': 4.208590168558953, 'z': 0.7511664670685603, 'v': 0.7156469612243948}, {'x': 3.1824360206121725, 'y': 6.342028599953483, 'z': 1.521934438485323, 'v': -0.9069550208259451}, {'x': 0.715298007119145, 'y': 6.2982190211215485, 'z': -1.0718837672855486, 'v': -0.39168117212703124}]"
2026-02-13T16:51:21.922,832,5,"[{'x': -2.8574171971014737, 'y': 3.7079158848874005, 'z': -0.24128334877065383, 'v': -0.7734783686169666}, {'x': -1.0039762980060485, 'y': 6.909865129827838, 'z': -1.849127769877101, 'v': -0.09649609784245694}, {'x': 4.518814137213607, 'y': 1.0601283442273834, 'z': -1.8763005873806606, 'v': 0.37738024282739135}, {'x': 4.987928640239147, 'y': 7.5478072150969675, 'z': 1.55764940362866, 'v': 0.491784153403239}, {'x': 0.7319151638416379, 'y': 7.4332672218231295, 'z': 0.8022379093954779, 'v': 0.06717667751381673}]"
2026-02-13T16:51:22.048,832,5,"[{'x': -2.0329783186006867, 'y': 5.698183196029326, 'z': 0.8109178478472674, 'v': 0.09955418851807774}, {'x': -1.6150046380576901, 'y': 4.106426236173519, 'z': -0.25197126748215215, 'v': 0.27753655045762504}, {'x': -0.7405088584334685, 'y': 9.061451483446216, 'z': -1.2017294855139982, 'v': 0.08650167163371991}, {'x': -2.0078314263554486, 'y': 9.874585259793662, 'z': 1.2819772047598996, 'v': 0.08783218945749627}, {'x': -1.6233488641345737, 'y': 5.394204133885488, 'z': -0.14079192649025174, 'v': -0.7557170080559918}]"
2026-02-13T16:51:22.171,832,5,"[{'x': -2.415207174928855, 'y': 3.105221525234425, 'z': 1.5824272436312232, 'v': -0.7296783181533757}, {'x': -3.6266020441953284, 'y': 9.612082685148206, 'z': 1.056824989802775, 'v': -0.3323164961203944}, {'x': -3.9364729146891406, 'y': 2.1105083881849462, 'z': -0.9455284383468348, 'v': 0.15116616675457406}, {'x': -0.19139086049238418, 'y': 0.538549182697361, 'z': -1.1753908470059615, 'v': 0.829077298774094}, {'x': 4.768583243999952, 'y': 6.566452556172572, 'z': 1.0058105464760412, 'v': -0.7697307792398407}]"
2026-02-13T16:51:22.291,832,5,"[{'x': -0.2882470766236631, 'y': 9.059392606160362, 'z': -1.3207617028240008, 'v': -0.6329888909577961}, {'x': 3.092105540928573, 'y': 0.267018253313952, 'z': 0.12022251244886073, 'v': -0.5719649344485298}, {'x': -3.650537873458941, 'y': 1.3323800086995463, 'z': 0.5624350880202464, 'v': -0.718960058812234}, {'x': 2.838309349306284, 'y': 2.3481092818962357, 'z': 0.30854653566545354, 'v': -0.044712725852110724}, {'x': 1.2240969144960054, 'y': 9.053268728893148, 'z': 1.9697386192458533, 'v': 0.6265437915823335}]"
2026-02-13T16:51:22.404,832,5,"[{'x': -1.3964818475562604, 'y': 5.4043740063457255, 'z': 0.8414656664406777, 'v': 0.8336432276307839}, {'x': -1.7835351538149133, 'y': 6.52280204413668, 'z': -1.1223459719502151, 'v': 0.1840607153499001}, {'x': 2.2274327804664695, 'y': 2.053765923574935, 'z': -0.9870802136684267, 'v': -0.04745747372851805}, {'x': -3.9870437753445067, 'y': 4.734643833871594, 'z': -1.312773214345699, 'v': -0.6682707336286489}, {'x': -0.3434269765416733, 'y': 5.087180995151014, 'z': -0.5687024588455252, 'v': 0.5858374856590411}]"
2026-02-13T16:51:22.522,832,5,"[{'x': 1.7467298950910717, 'y': 2.4957701009124236, 'z': 0.7099221237075191, 'v': -0.8164826037739603}, {'x': 4.694597948602013, 'y': 7.377732454254721, 'z': -0.418663646853211, 'v': 0.793970912096641}, {'x': -1.067101632251629, 'y': 5.688632612440254, 'z': -0.850555344232204, 'v': 0.11158316643056643}, {'x': 4.537750435289929, 'y': 7.381851507786412, 'z': -0.17190943739762954, 'v': 0.43543226088465037}, {'x': -1.2365958322060653, 'y': 2.5624469947434636, 'z': -1.6676810438600107, 'v': 0.8278167744832452}]"
2026-02-13T16:51:22.630,832,5,"[{'x': 0.4233115249398818, 'y': 6.452872055450763, 'z': -1.191857906346057, 'v': -0.7236261833648119}, {'x': -1.744157107034848, 'y': 0.3561679365739756, 'z': 0.4796144474011266, 'v': 0.326832598546861}, {'x': 0.9220977626173159, 'y': 4.257786927512983, 'z': 1.5770363400861256, 'v': -0.5827050894233783}, {'x': -4.7341119533580205, 'y': 8.894169442699226, 'z': 1.9674257129954684, 'v': 0.9537567234883118}, {'x': 0.2912844742179663, 'y': 6.291802214208313, 'z': 1.1369184555029954, 'v': 0.10858903121536612}]"
